PEAQBasic_Score,PEMO_Score,HAAQI_Score
-3.206,-1.1689,0.88
-3.602,-1.0492,0.87
-3.135,-1.2129,0.87
-3.321,-1.0746,0.88
-3.489,-1.0436,0.87
-2.525,-1.2899,0.84
-3.231,-1.0498,0.85
-3.422,-1.0629,0.88
-3.059,-0.95293,0.84
-3.43,-1.0679,0.86
-2.687,-1.1103,0.87
-3.325,-1.1202,0.88
-3.05,-1.0281,0.88
-3.207,-1.3178,0.87
-3.304,-0.94377,0.85
-2.887,-1.1269,0.86
-3.058,-1.0195,0.88
-2.149,-1.156,0.86
-3.141,-1.1283,0.83
-2.761,-1.0389,0.83
-3.39,-1.0978,0.86
-3.51,-1.13,0.88
-2.234,-1.0421,0.88
-3.236,-1.5302,0.88
-3.277,-0.94415,0.84
-2.705,-1.177,0.85
-3.547,-1.1082,0.86
-3.356,-1.2253,0.87
-3.722,-1.1314,0.87
-3.423,-0.97617,0.87
-3.381,-1.0978,0.89
-3.623,-1.0769,0.87
-2.908,-1.1476,0.89
-3.391,-1.1116,0.86
-3.003,-1.0628,0.84
-3.145,-1.1684,0.87
-3.661,-0.89572,0.86
-2.221,-0.98058,0.88
-3.365,-1.1805,0.86
-3.462,-0.95623,0.86
-3.286,-1.1381,0.87
-3.122,-1.1472,0.84
-2.269,-1.1954,0.86
-3.39,-1.1912,0.88
-3.569,-0.98107,0.86
-3.364,-1.1275,0.89
-3.126,-1.0571,0.86
-2.731,-1.1571,0.86
-2.417,-1.0063,0.85
-3.546,-1.0053,0.88
-3.067,-0.98541,0.88
-3.045,-0.86944,0.88
-3.294,-1.1631,0.87
-1.992,-1.0186,0.88
-3.329,-1.0858,0.84
-2.623,-1.0399,0.87
-2.713,-1.0287,0.87
-2.234,-0.99175,0.85
-2.415,-1.3032,0.85
-3.055,-1.0575,0.85
-2.264,-1.1533,0.83
-3.586,-0.90442,0.87
-2.61,-1.2042,0.88
-2.409,-1.0406,0.88
-2.432,-1.2162,0.87
-2.639,-1.0722,0.85
-3.038,-1.0798,0.86
-2.626,-1.0604,0.85
-3.0,-1.2942,0.84
-2.301,-1.0836,0.87
-3.117,-1.1415,0.88
-3.221,-0.99533,0.85
-3.708,-1.1138,0.86
-3.527,-1.0993,0.88
-2.51,-1.1057,0.85
-3.365,-1.1498,0.84
-3.293,-1.0553,0.86
-3.134,-1.114,0.88
-3.121,-1.0252,0.88
-2.108,-0.93849,0.87
-3.623,-1.0186,0.84
-3.611,-1.086,0.85
-3.691,-1.0612,0.85
-3.439,-1.1454,0.84
-2.608,-1.112,0.84
-2.264,-1.0228,0.87
-3.644,-1.1312,0.84
-3.01,-1.1537,0.82
-2.468,-1.0736,0.83
-3.47,-0.89775,0.88
-3.601,-1.0639,0.88
-2.648,-0.97553,0.87
-3.004,-0.97057,0.87
-3.16,-1.0736,0.89
-2.941,-1.1105,0.87
-3.267,-0.99884,0.85
-2.241,-1.0587,0.89
-3.107,-0.94609,0.86
-3.152,-1.0321,0.86
